,name,acres,buildingcount,buildingsquarefeet,buildingcost,buildingweight,contentcost,permanentresidents,dayoccupants,nightoccupants,buildingloss_wet,buildingloss_ratio_wet,contentloss_wet,debris_wet,displacedpopulation_wet,buildings_nodamage_wet,buildings_slightdamage_wet,buildings_moderatedamage_wet,buildings_extensivedamage_wet,buildings_completedamage_wet,casualtiestotal_day_wet,casualtieslevel1_day_wet,casualtieslevel1_day_wet,casualtieslevel2_day_wet,casualtieslevel2_day_wet,casualtieslevel1_day_wet,casualtieslevel1_day_wet,casualtieslevel2_day_wet,casualtieslevel2_day_wet,casualtiestotal_night_wet,casualtieslevel1_night_wet,casualtieslevel1_night_wet,casualtieslevel2_night_wet,casualtieslevel2_night_wet,casualtieslevel1_night_wet,casualtieslevel1_night_wet,casualtieslevel2_night_wet,casualtieslevel2_night_wet,buildingloss_dry,buildingloss_ratio_dry,contentloss_dry,debris_dry,displacedpopulation_dry,buildings_nodamage_dry,buildings_slightdamage_dry,buildings_moderatedamage_dry,buildings_extensivedamage_dry,buildings_completedamage_dry,casualtiestotal_day_dry,casualtieslevel1_day_dry,casualtieslevel1_day_dry,casualtieslevel2_day_dry,casualtieslevel2_day_dry,casualtieslevel1_day_dry,casualtieslevel1_day_dry,casualtieslevel2_day_dry,casualtieslevel2_day_dry,casualtiestotal_night_dry,casualtieslevel1_night_dry,casualtieslevel1_night_dry,casualtieslevel2_night_dry,casualtieslevel2_night_dry,casualtieslevel1_night_dry,casualtieslevel1_night_dry,casualtieslevel2_night_dry,casualtieslevel2_night_dry,Total_Population,displaced_percap_wet
10,BRIDGETON,2372.0628150445914,490.26754556029476,8074788.561457929,1165102268.321055,516104.4203179527,1309590635.9053895,725.0,9590.015509887553,1423.5750290810392,499350426.52190775,0.12048353043815434,271766745.0465297,248143.97053121362,205.20086273749513,105.69988367584337,77.02597906165182,71.68476153547887,60.72120977122917,175.13571151609156,410.22518417991466,291.75979061651805,11.366110895696009,85.21490887941061,21.884654905001945,291.75979061651805,11.366110895696009,85.21490887941061,21.884654905001945,51.96751647925552,37.19989336952308,1.3945441062427297,10.686230127956572,2.6870625242341992,37.19989336952308,1.3945441062427297,10.686230127956572,2.6870625242341992,294253295.8511051,0.07099771229158588,154416154.10042652,167620.61845676618,36.87239240015509,138.3094222566887,100.9208995734781,92.48739821636293,77.5882124854595,80.96161302830556,228.48041876696394,165.79898216362935,5.82917991469562,45.685401318340446,11.166799146956183,165.79898216362935,5.82917991469562,45.685401318340446,11.166799146956183,24.019680108569208,17.42285478867778,0.6371538386971694,4.7222547499030645,1.2374335982939124,17.42285478867778,0.6371538386971694,4.7222547499030645,1.2374335982939124,725.0,0.2830356727413726
11,BRIDLEMILE,654.7610171520485,1490.6970264393738,4266436.922134349,566189285.7475791,158214.0025961809,302629297.15569454,4128.0,1782.1994489756325,3929.737100318887,80484288.14253607,0.3032911594237424,22607885.39866265,26010.76472135105,342.7148397637151,790.1331749003291,367.1895005584399,179.48263601992127,40.16333175507786,113.72838320560591,26.365819388675547,18.87981325759373,0.7274741147489455,5.351254452864625,1.4072706602602383,18.87981325759373,0.7274741147489455,5.351254452864625,1.4072706602602383,31.835903622702865,24.297308231618207,0.5367639587726203,6.02742498063167,0.9743801650805323,24.297308231618207,0.5367639587726203,6.02742498063167,0.9743801650805323,41973241.12373175,0.15426346597943635,12132377.28329924,15522.062384932917,53.92554948176938,849.3246639421942,398.24133630603205,193.59388985200997,39.061339185211544,10.47579715392593,15.876515126677422,11.145566455151286,0.5166452847700892,3.1927246326535235,1.0215821973407757,11.145566455151286,0.5166452847700892,3.1927246326535235,1.0215821973407757,9.579562961483427,7.5015267357037265,0.17953688222288264,1.5478934154690762,0.3506075150412679,7.5015267357037265,0.17953688222288264,1.5478934154690762,0.3506075150412679,4128.0,0.08302200575671392
12,BRIDLEMILE/SOUTHWEST HILLS,129.92140841521194,268.238303026557,781728.0212496107,101443872.72223714,26028.620294406424,53077095.797386386,647.0,368.04856493511124,616.3117952753284,12492436.693942368,0.05215939064955319,3238714.9884735984,3051.6533224135433,52.87694636187932,140.88802381116525,65.2059299691187,32.42706285377386,7.759474185948655,21.957812206550447,3.5514208039477655,2.7600611890486704,0.054138049893852985,0.637287242542964,0.09993301779062055,2.7600611890486704,0.054138049893852985,0.637287242542964,0.09993301779062055,4.651887521484965,3.596877815879499,0.06608835631877863,0.8741112308893766,0.11480659286497101,3.596877815879499,0.06608835631877863,0.8741112308893766,0.11480659286497101,4900862.790537345,0.02048385384138093,1281176.4154187753,1122.6062088279134,4.3957160955251835,154.69787919922592,71.32486692991442,34.29611927453922,6.523358287193652,1.3960793356837033,1.619783597230906,1.301387548229734,0.022649092120396636,0.251923444276976,0.04382392685721622,1.301387548229734,0.022649092120396636,0.251923444276976,0.04382392685721622,0.9468567711812629,0.7738115768359393,0.012988670958746491,0.13487830476674995,0.025179388253935044,0.7738115768359393,0.012988670958746491,0.13487830476674995,0.025179388253935044,647.0,0.08172634677261101
13,BROOKLYN ACTION CORPS,325.91775726143777,1383.432061021469,3310910.3514325004,427264055.34645903,173456.40602293404,301010401.823293,3485.0,2731.40624470776,3364.1885034949737,51740328.39937536,0.16105539113173026,18544040.68280842,28792.990759238342,184.08634325088926,792.3704840977704,319.8378889797487,154.21540685167884,39.395746105347136,77.61253498692298,37.943462007134855,27.186483370557614,1.0878796985946606,7.547576856603817,2.1215108779493166,27.186483370557614,1.0878796985946606,7.547576856603817,2.1215108779493166,17.878166041769784,13.788004111446428,0.2724959629341198,3.3342499336479965,0.4834153629029374,13.788004111446428,0.2724959629341198,3.3342499336479965,0.4834153629029374,32716949.05447982,0.09923253605402675,11870035.964981237,21490.48596297386,17.246980482133303,831.81416837762,337.004335569113,162.19801323942426,41.074901662487505,11.340642172823546,23.599891615728534,17.19885705433479,0.6606523024474155,4.44210037975896,1.298296111410045,17.19885705433479,0.6606523024474155,4.44210037975896,1.298296111410045,4.781241658646421,3.8700026929901012,0.07267495238943213,0.6972370738270175,0.14132694072549057,3.8700026929901012,0.07267495238943213,0.6972370738270175,0.14132694072549057,3485.0,0.05282248012937999
14,BUCKMAN,875.4869583036462,2114.2339969035493,14487210.623419555,2133942797.6882236,1114945.3293551493,1783659906.6148336,8472.0,16829.60059249428,8523.757042516203,609750433.6783137,0.7850442512463431,253886117.07337353,414386.258101718,708.9139653702331,930.9215720081673,430.51261052232934,319.9501080686719,173.21049160902996,259.63921469534955,765.8148333830133,522.4464350624127,26.873911992163162,163.4527439479318,53.04186001960653,522.4464350624127,26.873911992163162,163.4527439479318,53.04186001960653,113.2934115072559,81.27363365871754,3.1688692709596626,22.674523090654166,6.176379858588956,81.27363365871754,3.1688692709596626,22.674523090654166,6.176379858588956,463999352.3152251,0.5768234055702206,183601818.1089796,345379.98550136323,280.87632917804115,981.4532447051857,456.24689277341935,344.380324945302,193.86158709267067,138.29194738697106,594.6388901104009,409.6759586424864,20.31991465903868,124.53303809040932,40.109302203735375,409.6759586424864,20.31991465903868,124.53303809040932,40.109302203735375,68.7057995084774,49.611965892723774,1.9802523382008426,13.210091321330614,3.9035283723417344,49.611965892723774,1.9802523382008426,13.210091321330614,3.9035283723417344,8472.0,0.08367728580857331
15,CATHEDRAL PARK,844.9606767241033,1328.9046488301633,4164959.752241678,556745862.380339,211690.26371778524,466619943.6979026,3349.0,3662.2511257777537,3310.861521721145,142890915.24702817,0.4905337693390807,71452379.18328758,75236.01670937488,217.6680912427837,691.7948205567034,322.35651098887166,164.03769867635194,50.28795996185988,100.42765864637664,117.53484875891274,84.34156052094545,3.148369282358606,23.98023355961201,6.064730469195278,84.34156052094545,3.148369282358606,23.98023355961201,6.064730469195278,26.453635297706803,20.04267447842454,0.48261361268221115,5.036347569438869,0.8919905552469384,20.04267447842454,0.48261361268221115,5.036347569438869,0.8919905552469384,103033301.56479324,0.3285814519888192,51955063.45311848,61106.51782563749,32.05560849292909,732.2868712443014,340.79929580323676,173.18027622070414,52.35142243523637,30.286783126684078,86.59120222300243,63.12683049827774,2.153807786991121,17.18169856816287,4.128760975496789,63.12683049827774,2.153807786991121,17.18169856816287,4.128760975496789,10.595837917056336,8.289807937188284,0.17563648218179875,1.7984270215046907,0.3319839634464933,8.289807937188284,0.17563648218179875,1.7984270215046907,0.3319839634464933,3349.0,0.06499495110265265
16,CENTENNIAL,1854.956148850872,7016.686240233293,12405771.005619628,1541885281.4898818,489252.6404423183,891286220.0089996,22220.0,11826.997820150316,21169.627042428652,35797689.47420693,0.25924669189359195,10332541.210377606,16323.527218102574,60.9658105064424,4936.06458501462,1316.485820001712,583.5710399961971,154.25433445719366,26.310460763568962,19.363676042564908,15.636144763367453,0.3128674592004177,2.803907092167182,0.6107610825750285,15.636144763367453,0.3128674592004177,2.803907092167182,0.6107610825750285,15.419767269328863,13.250674554509919,0.10645170537739629,1.870189748677106,0.19244633937208558,13.250674554509919,0.10645170537739629,1.870189748677106,0.19244633937208558,35015373.5344125,0.2559356261079825,10096694.657881277,16135.25886274281,53.2169662663543,4936.683527745899,1316.6921342454712,583.6741971180767,154.25433445719366,25.382046666652663,19.03324314976021,15.39412474501209,0.3055129753531343,2.73684402829053,0.5967662406880975,15.39412474501209,0.3055129753531343,2.73684402829053,0.5967662406880975,14.80599064671506,12.796962711631798,0.0937727563685857,1.746713459029529,0.16853688081848794,12.796962711631798,0.0937727563685857,1.746713459029529,0.16853688081848794,22220.0,0.0027437358463745457
17,CENTENNIAL/PLEASANT VALLEY,3001.3394407859437,3990.7266416572184,9036745.786510251,1083247805.8247163,330249.828340743,588097266.0803294,11535.35853833207,5339.763213877804,10992.168228869967,36919588.65879752,0.14280631877861677,10775928.047767857,14603.39853099464,194.40468803142466,2868.0573413851507,678.0526970726412,266.42771260830267,97.63932811152573,80.54956247959757,26.6175164078257,19.515362542193774,0.6921655505290967,5.064914996103772,1.3450561305421644,19.515362542193774,0.6921655505290967,5.064914996103772,1.3450561305421644,20.125175417535985,16.144438533449392,0.21615446381193207,3.4019456842199793,0.3626389936558389,16.144438533449392,0.21615446381193207,3.4019456842199793,0.3626389936558389,23820888.88612742,0.08982715732927392,7163147.439836159,10864.362381161867,67.92260848165652,2904.723556360062,690.0038570387635,268.79640140818844,97.05848339403316,30.144343456171956,20.078979169848925,14.809991301343251,0.5329192388209534,3.690654033464383,1.0454468589316606,14.809991301343251,0.5329192388209534,3.690654033464383,1.0454468589316606,10.536422834787489,8.822632544403294,0.08242575510052794,1.492689697470659,0.1386781102151419,8.822632544403294,0.08242575510052794,1.492689697470659,0.1386781102151419,11535.0,0.016853462334757232
18,COLLINS VIEW,1265.297577169301,1257.6935300163934,3802687.413781649,556990670.9205817,163830.21280450883,391672024.76804256,3102.0,5981.2429506135595,3000.207705533583,74189805.57785186,0.22607716097918532,26655026.245325968,26936.81115936179,213.00667493302052,732.4327964109733,280.8570687814153,129.347960524123,31.4073587822518,83.64834551762998,113.35621170159665,79.41130714398734,3.658603292313473,23.06880852718421,7.217602159510255,79.41130714398734,3.658603292313473,23.06880852718421,7.217602159510255,19.512490430422687,15.022122508463832,0.2953992146077123,3.670313078665332,0.5246227468437116,15.022122508463832,0.2953992146077123,3.670313078665332,0.5246227468437116,43972533.629137814,0.12231738188065526,16027772.666771758,18506.31315420324,24.388622709731493,777.9113141409425,299.76106274436955,138.12682358492117,30.900359814391294,10.993969731769072,79.07070269635794,56.191467941630876,2.4780526257403612,15.499836927988863,4.901364993857539,56.191467941630876,2.4780526257403612,15.499836927988863,4.901364993857539,4.954978022219642,3.974532670963084,0.07534990884490898,0.7600854583964041,0.14501261717713335,3.974532670963084,0.07534990884490898,0.7600854583964041,0.14501261717713335,3102.0,0.0686675289919473
19,CONCORDIA,866.5474268499722,4364.494205375575,7465210.446709722,921935728.6176144,301521.14782830165,580518289.4589057,9558.0,6769.219174194328,9134.310371838128,57853737.150072835,0.47941487418379497,21877099.64561042,25965.545274683995,179.65843360880882,2914.9276631172106,930.5808236031393,361.62029833539674,64.78972382529949,92.57569649453029,75.73224319194487,53.07029078017284,2.4292448274206695,15.463832578062705,4.7688319615124115,53.07029078017284,2.4292448274206695,15.463832578062705,4.7688319615124115,19.200568804878277,15.1917326870376,0.24193197562619084,3.3507353838410334,0.4161710067365734,15.1917326870376,0.24193197562619084,3.3507353838410334,0.4161710067365734,40873867.466090895,0.3405769274995253,15974367.714832036,20240.752121001708,16.696280384101517,2959.7790257178726,949.3562630655016,371.5080180665781,67.22321838394517,16.627680141677295,54.59877828517082,38.67808261464871,1.7246896294489489,10.798482816797904,3.3975532486365188,38.67808261464871,1.7246896294489489,10.798482816797904,3.3975532486365188,6.595938220107468,5.590257801037049,0.06594822371363107,0.8142303089097673,0.1255075815620632,5.590257801037049,0.06594822371363107,0.8142303089097673,0.1255075815620632,9558.0,0.018796655535552292
